slug,name,area,category,source_type,source_title,program_name,creator_name,episode_title,broadcast_date,video_url,has_appearance,place_id,trust_kind,trust_source_name,trust_title,trust_url,trust_date,status,priority,backfill_candidate,notes
saengdal-bukgu-shunsaikubo,슌사이쿠보 화명,기타,아시안,tv,생활의달인,생활의달인,,1027회,2026-04-20,https://programs.sbs.co.kr/culture/lifemaster/clip/55731/OC479169091,yes,1645649718,tv,생활의달인,1027회,https://programs.sbs.co.kr/culture/lifemaster/clip/55731/OC479169091,2026-04-20,READY,P2,YES,
saengdal-centum-bulbaek-gosurak,불백고수락 센텀본점,해운대,한식,tv,SBS 생활의 달인,생활의 달인,,공깃밥 달인,2026-02-23,https://sun1.greenharmony11.com/entry/%EC%83%9D%ED%99%9C%EC%9D%98-%EB%8B%AC%EC%9D%B8-%EB%B6%80%EC%82%B0%ED%95%B4%EC%9A%B4%EB%8C%80%EB%A7%9B%EC%A7%91-%EA%B3%B5%EA%B9%83%EB%B0%A5-%EB%8B%AC%EC%9D%B8-%EC%9C%84%EC%B9%98%EC%A0%95%EB%B3%B4,yes,987828015,tv,생활의 달인,공깃밥 달인,https://sun1.greenharmony11.com/entry/%EC%83%9D%ED%99%9C%EC%9D%98-%EB%8B%AC%EC%9D%B8-%EB%B6%80%EC%82%B0%ED%95%B4%EC%9A%B4%EB%8C%80%EB%A7%9B%EC%A7%91-%EA%B3%B5%EA%B9%83%EB%B0%A5-%EB%8B%AC%EC%9D%B8-%EC%9C%84%EC%B9%98%EC%A0%95%EB%B3%B4,2026-02-23,READY,P1,YES,
saengdal-geumjeong-songs-bakery,송스 베이커리,기타,베이커리/디저트,tv,생활의달인,생활의달인,,빵의 전쟁2,2024-12-09,https://programs.sbs.co.kr/culture/lifemaster/clip/55731/OC473025008,yes,1678402588,tv,생활의달인,빵의 전쟁2,https://programs.sbs.co.kr/culture/lifemaster/clip/55731/OC473025008,2024-12-09,READY,P2,YES,
saengdal-gijang-ilgwangdang,일광당,기장,베이커리/디저트,tv,생활의달인,생활의달인,,,2026-04-06,https://www.youtube.com/watch?v=SBENitS_4CM,yes,14723726,tv,생활의달인,,https://www.youtube.com/watch?v=SBENitS_4CM,2026-04-06,READY,P2,YES,
saengdal-gijang-jeil-bunsik,제일분식,기장,분식/길거리,tv,생활의달인,생활의달인,,1024회,2026-03-30,https://www.youtube.com/watch?v=q5aztWoZJRs,yes,10088181,tv,생활의달인,1024회,https://www.youtube.com/watch?v=q5aztWoZJRs,2026-03-30,READY,P2,YES,
saengdal-gwangalli-boulangerie-lassence,블랑제리 라센,광안리,카페/베이커리,tv,생활의 달인,생활의 달인,,960회 빵의 전쟁 부산 1탄,2024-12-02,https://www.lecturernews.com/news/articleView.html?idxno=167320,yes,748130607,tv,생활의 달인,960회 빵의 전쟁 부산 1탄,https://www.lecturernews.com/news/articleView.html?idxno=167320,2024-12-02,READY,P1,YES,
saengdal-gwangalli-jin-doejigomtang,진돼지곰탕,광안리,돼지국밥,tv,생활의달인,생활의달인,,M슐랭 돼지곰탕 달인 (1022회),2026-03-23,,yes,1398392170,tv,생활의달인,M슐랭 돼지곰탕 달인 (1022회),,2026-03-23,READY,P2,YES,url 없음
saengdal-haeundae-amisan,아미산,해운대,중식,tv,생활의달인,생활의달인,,996회 양수평 대사부 중식,2025-08-18,,yes,7991031,tv,생활의달인,996회 양수평 대사부 중식,,2025-08-18,READY,P2,YES,url 없음
saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,해운대,베이커리/디저트,tv,생활의달인,생활의달인,,빵의 전쟁2 편,2024-12-09,https://hulk0713.tistory.com/entry/생활의-달인-빵의-전쟁-부산-2탄-베이커리-달인-부산-송스베이커리-미쌤쌀빵-쉐라미과자점-베엔씨제과,yes,930661152,tv,생활의달인,빵의 전쟁2 편,https://hulk0713.tistory.com/entry/생활의-달인-빵의-전쟁-부산-2탄-베이커리-달인-부산-송스베이커리-미쌤쌀빵-쉐라미과자점-베엔씨제과,2024-12-09,READY,P2,YES,
saengdal-jeonpo-toda-park,토다공원,서면,일식,tv,SBS 생활의 달인,생활의 달인,,부산 오코노미야키·몬자야키 달인,2026-05-04,,yes,536870603,tv,생활의 달인,부산 오코노미야키·몬자야키 달인,,2026-05-04,READY,P1,YES,url 없음
saengdal-namgu-daeyeon-milmyeon,대연밀면,남구,밀면,tv,생활의달인,생활의달인,,,2025-08-18,https://programs.sbs.co.kr/culture/lifemaster/vod/55731/22000611729,yes,16697877,tv,생활의달인,,https://programs.sbs.co.kr/culture/lifemaster/vod/55731/22000611729,2025-08-18,READY,P2,YES,
saengdal-saha-cheramie,쉐라미과자점,기타,베이커리/디저트,tv,생활의달인,생활의달인,,빵의 전쟁2,2024-12-09,https://hulk0713.tistory.com/entry/생활의-달인-빵의-전쟁-부산-2탄-베이커리-달인-부산-송스베이커리-미쌤쌀빵-쉐라미과자점-베엔씨제과,yes,9842611,tv,생활의달인,빵의 전쟁2,https://hulk0713.tistory.com/entry/생활의-달인-빵의-전쟁-부산-2탄-베이커리-달인-부산-송스베이커리-미쌤쌀빵-쉐라미과자점-베엔씨제과,2024-12-09,READY,P2,YES,
saengdal-sasang-peanut-bbangatgan,피넛빵앗간,사상,베이커리/디저트,tv,생활의달인,생활의달인,,빵의 전쟁 1026회 부산 소금빵,2026-04-13,,yes,1585286643,tv,생활의달인,빵의 전쟁 1026회 부산 소금빵,,2026-04-13,READY,P2,YES,url 없음
saengdal-suyeong-dongyang-sarada-namcheon,동양사라다 남천본점,광안리,베이커리/디저트,tv,생활의달인,생활의달인,,989회 부산 샐러드빵 달인,2025-06-30,,yes,217131038,tv,생활의달인,989회 부산 샐러드빵 달인,,2025-06-30,READY,P2,YES,url 없음
saengdal-suyeong-sushibashiku,스시바시쿠,광안리,일식,tv,생활의달인,생활의달인,,1027회 오사카에서 온 초밥 달인,2026-04-20,,yes,629144469,tv,생활의달인,1027회 오사카에서 온 초밥 달인,,2026-04-20,READY,P2,YES,url 없음
saengdal-yeongdo-sato-bunsik,사또분식,영도,분식/길거리,tv,생활의달인,생활의달인,,이색 김밥 달인 편,2023-05-22,https://programs.sbs.co.kr/culture/lifemaster/vod/55733/22000500544,yes,9808354,tv,생활의달인,이색 김밥 달인 편,https://programs.sbs.co.kr/culture/lifemaster/vod/55733/22000500544,2023-05-22,READY,P2,YES,
saengsaeng-sasang-jurye-suyuk-kalguksu,주례수육칼국수 2호점,사상,한식,tv,2TV 생생정보,2TV 생생정보,,가격파괴 WHY — 4000원 수육칼국수,2017-08-09,,yes,1664107638,tv,2TV 생생정보,가격파괴 WHY — 4000원 수육칼국수,,2017-08-09,READY,P1,YES,url 없음
samdae-haeundae-wonjo-halmae-gukbap,해운대원조할매국밥,해운대,한식,tv,백종원의 3대 천왕,백종원의 3대 천왕,,,2016-07-30,,yes,367285394,tv,백종원의 3대 천왕,,,2016-07-30,READY,P1,YES,url 없음
samdae-seomyeon-gijang-son-kalguksu,기장손칼국수,서면,한식,tv,백종원의 3대 천왕,백종원의 3대 천왕,,47회,2016-07-23,https://programs.sbs.co.kr/enter/3kings/vod/53280/22000185941,yes,11495457,tv,백종원의 3대 천왕,47회,https://programs.sbs.co.kr/enter/3kings/vod/53280/22000185941,2016-07-23,READY,P1,YES,
sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,해운대,해산물,tv,맛있는녀석들,맛있는녀석들,,,2017-09-15,https://www.youtube.com/watch?v=AvDFjLoU9n8,yes,13299874,tv,맛있는녀석들,,https://www.youtube.com/watch?v=AvDFjLoU9n8,2017-09-15,READY,P2,YES,
subyeon-choego-doejigukbap-minrak,수변최고돼지국밥 민락본점,광안리,돼지국밥,tv,수요미식회,수요미식회,,,2018-03-21,https://www.youtube.com/watch?v=UPL2ia1kSRo,yes,14635779,tv,수요미식회,,https://www.youtube.com/watch?v=UPL2ia1kSRo,2018-03-21,READY,P1,YES,
sungsik-gaegeum-milmyeon,개금 밀면 본점,서면,밀면,youtube,성시경 먹을텐데,먹을텐데,성시경,부산 밀면 투어 (feat. 성시경),2024-11-03,https://youtube.com/@sungsikyung,yes,1300578239,youtube,먹을텐데,부산 밀면 투어 (feat. 성시경),https://youtube.com/@sungsikyung,2024-11-03,READY,P1,YES,
sungsik-gwangalli-geumson-1983,금손1983,광안리,한식,youtube,성시경의 먹을텐데,성시경의 먹을텐데,성시경,부산 금손1983 with 이대호,,https://www.youtube.com/watch?v=dBjCfY2fKQc,yes,855139094,youtube,성시경의 먹을텐데,부산 금손1983 with 이대호,https://www.youtube.com/watch?v=dBjCfY2fKQc,,READY,P1,YES,
sungsik-gwangalli-haejin-anago,해진아나고,광안리,회/해산물,youtube,성시경의 먹을텐데,,,부산 해진아나고,,https://www.youtube.com/watch?v=VkW3eo6C0fA,yes,22205150,youtube,성시경의 먹을텐데,부산 해진아나고,https://www.youtube.com/watch?v=VkW3eo6C0fA,,REVIEW,P1,no,"program/creator 미상, source_title만"
