slug,name,input_file,published,had_thumbnail,action,status,width,height,output_file,storage_path,thumbnail_before,thumbnail_after,cache_busted,note
saengdal-bukgu-shunsaikubo,슌사이쿠보 화명,saengdal-bukgu-shunsaikubo.jpg,true,false,new,uploaded_new,1280,1280,saengdal-bukgu-shunsaikubo.webp,restaurants/saengdal-bukgu-shunsaikubo/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-bukgu-shunsaikubo/main.webp,no,
saengdal-centum-bulbaek-gosurak,불백고수락 센텀본점,saengdal-centum-bulbaek-gosurak.jpg,true,false,new,uploaded_new,1280,1280,saengdal-centum-bulbaek-gosurak.webp,restaurants/saengdal-centum-bulbaek-gosurak/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-centum-bulbaek-gosurak/main.webp,no,
saengdal-haeundae-amisan,아미산,saengdal-haeundae-amisan.jpg,true,false,new,uploaded_new,1280,1280,saengdal-haeundae-amisan.webp,restaurants/saengdal-haeundae-amisan/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-haeundae-amisan/main.webp,no,
saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,saengdal-haeundae-missaem-ssalbbang.jpg,true,false,new,uploaded_new,1023,1280,saengdal-haeundae-missaem-ssalbbang.webp,restaurants/saengdal-haeundae-missaem-ssalbbang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-haeundae-missaem-ssalbbang/main.webp,no,
saengdal-jeonpo-toda-park,토다공원,saengdal-jeonpo-toda-park.jpg,true,false,new,uploaded_new,675,455,saengdal-jeonpo-toda-park.webp,restaurants/saengdal-jeonpo-toda-park/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-jeonpo-toda-park/main.webp,no,
saengdal-ssangdungyi-doejigukbap,쌍둥이돼지국밥,saengdal-ssangdungyi-doejigukbap.jpg,true,false,new,uploaded_new,1280,1180,saengdal-ssangdungyi-doejigukbap.webp,restaurants/saengdal-ssangdungyi-doejigukbap/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-ssangdungyi-doejigukbap/main.webp,no,
saengdal-yeongdo-sato-bunsik,사또분식,saengdal-yeongdo-sato-bunsik.jpg,true,false,new,uploaded_new,1024,1280,saengdal-yeongdo-sato-bunsik.webp,restaurants/saengdal-yeongdo-sato-bunsik/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-yeongdo-sato-bunsik/main.webp,no,
saengdal-yeonje-gukje-milmyeon,국제밀면 본점,saengdal-yeonje-gukje-milmyeon.jpg,true,false,new,uploaded_new,900,873,saengdal-yeonje-gukje-milmyeon.webp,restaurants/saengdal-yeonje-gukje-milmyeon/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-yeonje-gukje-milmyeon/main.webp,no,
saengsaeng-sasang-jurye-suyuk-kalguksu,주례수육칼국수 2호점,saengsaeng-sasang-jurye-suyuk-kalguksu.jpg,true,false,new,uploaded_new,915,706,saengsaeng-sasang-jurye-suyuk-kalguksu.webp,restaurants/saengsaeng-sasang-jurye-suyuk-kalguksu/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengsaeng-sasang-jurye-suyuk-kalguksu/main.webp,no,
samdae-seomyeon-gijang-son-kalguksu,기장손칼국수,samdae-seomyeon-gijang-son-kalguksu.jpg,true,false,new,uploaded_new,1280,1280,samdae-seomyeon-gijang-son-kalguksu.webp,restaurants/samdae-seomyeon-gijang-son-kalguksu/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/samdae-seomyeon-gijang-son-kalguksu/main.webp,no,
samdae-seomyeon-wonjo-halmae-nakji,원조할매낙지,samdae-seomyeon-wonjo-halmae-nakji.jpg,true,false,new,uploaded_new,1280,1280,samdae-seomyeon-wonjo-halmae-nakji.webp,restaurants/samdae-seomyeon-wonjo-halmae-nakji/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/samdae-seomyeon-wonjo-halmae-nakji/main.webp,no,
